INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM
Comprehensive,Car,Private,Toyota,Prius,2011,6495000.00,88691.98
Third Party,Bike,Private,Honda,CBR,2004,1050000.00,1200.00
Comprehensive,Car,Private,Nissan,Sunny,1999,2450000.00,35266.26
Third Party,Car,Private,Ford,Ranger XLT,2018,24000000.00,3500.00
Comprehensive,Truck,Private,Tata,Dimo Batta,2013,1800000.00,35278.05
Third Party,Three wheeler,Private,Bajaj,RE 2014,2014,1165000.00,2160.00
Third Party,Three wheeler,Private,Bajaj,RE 4 stroke,2012,1050000.00,2160.00
Comprehensive,Bike,Private,Hero,Karizma,2016,550000.00,18370.00
Comprehensive,Car,Private,Honda,Fit,2012,7150000.00,97342.67
Comprehensive,Car,Private,Honda,CRV,2018,24000000.00,319891.21
Comprehensive,Bike,Private,Honda,Dio,2012,345000.00,15021.00
Comprehensive,Car,Private,Toyota,Aqua,2014,7775000.00,105597.47
Comprehensive,Bike,Private,Yamaha,R15,2019,1280000.00,42752.00
Comprehensive,Bike,Private,Bajaj,Platina,2007,215000.00,7181.00
Comprehensive,Car,Private,Toyota,CHR,2018,15975000.00,213900.53
Comprehensive,Car,Private,Honda,Grace,2017,11700000.00,157437.62
Comprehensive,Car,Private,Jaguar,S-Type,2007,8800000.00,119134.85
Comprehensive,van,Private,Toyota,Townace,1996,4590000.00,63530.71
Comprehensive,Car,Private,Suzuki,Wagon R,2018,5990000.00,82021.77
Comprehensive,Car,Private,Toyota,Corolla 110,1997,3775000.00,52766.58
Comprehensive,Car,Private,Nissan,X-Trail,2011,11600000.00,156116.97
Comprehensive,Car,Private,Suzuki,Alto Sport,2007,2265000.00,32822.91
Comprehensive,Car,Private,Toyota,CHR,2019,16990000.00,227305.95
Comprehensive,Car,Private,Honda,Vezel RS,2018,15700000.00,210268.50
Comprehensive,Car,Private,Honda,CRV,2015,19000000.00,253852.85
Comprehensive,Car,Private,BMW,X1,2018,22500000.00,300080.50
Comprehensive,Car,Private,Mitsubishi,Montero,2001,11950000.00,160739.73
Comprehensive,Car,Private,BMW,420i COUPE SPORT,2017,37500000.00,498194.57
Comprehensive,Car,Private,suzuki,Alto,2017,5425000.00,74559.76
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2010,34800000.00,462534.10
Comprehensive,Car,Private,Toyota,Corolla,1984,850000.00,14133.91
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2003,14500000.00,194418.73
Comprehensive,Car,Private,Toyota,Allion,2014,12875000.00,172956.47
Comprehensive,Car,Private,Mercedes Benz,C200,2019,31000000.00,412345.51
Comprehensive,Car,Private,Mitsubishi,Lancer,1980,650000.00,11492.61
Comprehensive,Car,Private,Suzuki,Alto,2015,2800000.00,39889.02
Comprehensive,Car,Private,Toyota,Aqua,2013,7950000.00,107908.85
Comprehensive,Car,Private,Mitsubishi,Outlander,2014,14000000.00,187815.50
Comprehensive,Car,Private,Toyota,CHR,2017,15200000.00,203664.26
Comprehensive,Car,Private,Toyota,Premio,2013,13200000.00,177249.32
Comprehensive,Car,Private,Ford,Ranger,2016,29500000.00,392533.80
Comprehensive,Car,Private,Toyota,Prius,2012,8900000.00,120455.50
Comprehensive,Car,Private,Honda,Vezel,2015,11250000.00,151494.20
Comprehensive,Three wheeler,Private,Bajaj,RE,2008,750000.00,16748.91
Comprehensive,Car,Private,Toyota,Premio,2017,17900000.00,239324.74
Comprehensive,Car,Private,Audi,A4,2011,11750000.00,158097.44
Comprehensive,Car,Private,Honda,Civic,2017,14400000.00,193098.09
Comprehensive,Car,Private,Toyota,Voxy,2014,19400000.00,259136.44
Comprehensive,Car,Private,Peugeot,508,2011,13500000.00,181211.26
Comprehensive,Car,Private,Bajaj,Pulsar 180,2016,180000.00,7729.42
Comprehensive,Car,Private,Suzuki,Swift,2003,4150000.00,57719.26
Comprehensive,Car,Private,BMW,520d,2012,20875000.00,278617.24
Comprehensive,Car,Private,Mini,Cooper,2015,18775000.00,250881.65
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2016,56500000.00,749140.52
Comprehensive,Car,Private,Mercedes Benz,C180,2016,21250000.00,283570.91
Comprehensive,Car,Private,Honda,Fit Shuttle,2014,9690000.00,130889.71
Comprehensive,Car,Private,Mercedes Benz,C200,2018,33590000.00,446553.37
Comprehensive,Car,Private,Nissan,Sunny,1994,1990000.00,29190.88
Comprehensive,Car,Private,Audi,Q2,2018,17650000.00,236022.62
Comprehensive,Car,Private,Renault,KWID,2016,3050000.00,43191.14
Comprehensive,Car,Private,Toyota,Aqua,2014,7690000.00,104474.77
Comprehensive,Car,Private,Toyota,Prius,2013,9750000.00,131682.50
Comprehensive,Car,Private,Mitsubishi,Lancer,2008,7690000.00,104474.77
Comprehensive,Car,Private,Nissan,Sunny,2005,4200000.00,58380.08
Comprehensive,Car,Private,Micro,Panda,2016,2750000.00,39229.20
Comprehensive,Car,Private,Toyota,Vitz,2017,8490000.00,115040.94
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000.00,105795.41
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6900000.00,94040.56
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6925000.00,94370.47
Comprehensive,Car,Private,Mercedes Benz,C200,2017,28500000.00,379326.33
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,32950000.00,438099.62
Comprehensive,Car,Private,Audi,Q3,2017,17950000.00,239985.56
Comprehensive,Car,Private,Datsun,Redi Go,2016,2650000.00,37908.55
Comprehensive,Car,Private,DFSK,Glory,2019,9350000.00,126399.91
Comprehensive,Car,Private,Toyota,Corolla,1997,3675000.00,51445.94
Comprehensive,Car,Private,Toyota,Hilux,2017,27995000.00,372656.11
Comprehensive,Car,Private,Hyundai,Venue,2019,10900000.00,146871.44
Comprehensive,Car,Private,Kia,Sportage,2011,10725000.00,144560.06
Comprehensive,Car,Private,Honda,Grace,2015,11375000.00,153144.76
Comprehensive,Car,Private,Audi,A4,2011,11750000.00,158097.44
Comprehensive,Car,Private,Honda,Fit,2014,8500000.00,115172.91
Comprehensive,Car,Private,Jaguar,XF,2014,18500000.00,247249.62
Comprehensive,Car,Private,Toyota,CHR,2018,16500000.00,220833.68
Comprehensive,Car,Private,Nissan,X-Trail,2016,13500000.00,181211.26
Comprehensive,Car,Private,BMW,318i,2017,21950000.00,292815.44
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14000000.00,187815.50
Comprehensive,Car,Private,Toyota,Avanza,2008,5950000.00,81493.91
Comprehensive,Car,Private,Toyota,Corona,1991,1875000.00,27672.29
Comprehensive,Car,Private,Honda,Vezel,2014,10850000.00,146210.62
Comprehensive,Car,Private,Nissan,X-Trail,2016,12200000.00,164040.85
Comprehensive,Car,Private,Mercedes Benz,E200,2013,25000000.00,333099.68
Comprehensive,Car,Private,Toyota,Passo,2020,8100000.00,109890.32
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2018,128000000.00,1693487.19
Comprehensive,Car,Private,Land Rover,Range Rover Velar,2019,64500000.00,854801.28
Comprehensive,Car,Private,MG,MG4 X,2024,19950000.00,266400.50
Comprehensive,Car,Private,BMW,X5,2016,37500000.00,498194.57
Comprehensive,Car,Private,Nissan,AD Wagon,1991,1790000.00,26549.59
Comprehensive,Car,Private,Toyota,Corolla,1992,2090000.00,30511.53
Comprehensive,Car,Private,Nissan,Wingroad,2005,4275000.00,59370.82
Comprehensive,Car,Private,Toyota,Prius,2014,10925000.00,147201.35
Comprehensive,Car,Private,Toyota,Toyota,2013,7650000.00,103946.91
Comprehensive,Car,Private,Honda,Vezel,2016,12250000.00,164701.67
Comprehensive,Car,Private,Toyota,Corolla,2006,6385000.00,87238.37
Comprehensive,Car,Private,Audi,Q2,2017,17750000.00,237343.27
Comprehensive,Car,Private,Toyota,Harrier,2017,31150000.00,414325.98
Comprehensive,Car,Private,Honda,Civic,2017,16000000.00,214230.44
Comprehensive,Car,Private,Nissan,X-Trail,2016,12375000.00,166352.23
Comprehensive,Car,Private,Suzuki,Alto,2011,2690000.00,38436.41
Comprehensive,Car,Private,Tata,Nano,2017,2250000.00,32624.96
Comprehensive,Car,Private,Suzuki,Maruti,2012,1995000.00,29256.86
Comprehensive,Car,Private,Land Rover,Discovery,2010,32500000.00,432156.21
Comprehensive,Car,Private,Honda,Vezel,2014,9890000.00,133532.00
Comprehensive,Car,Private,Nissan,X-Trail,2004,5875000.00,80503.17
Comprehensive,Car,Private,Nissan,Sunny,1994,1990000.00,29190.88
Comprehensive,Car,Private,Mercedes Benz,E200,2010,14000000.00,187815.50
Comprehensive,Car,Private,Ssang Yong,Kyron,2008,5525000.00,75880.41
Comprehensive,Car,Private,Audi,Q2,2017,16500000.00,220833.68
Comprehensive,Car,Private,Mitsubishi,Montero,2008,9750000.00,131682.50
Comprehensive,Car,Private,BMW,X5,2016,34800000.00,462534.10
Comprehensive,Car,Private,Land Rover,Defender,2013,45000000.00,597252.10
Comprehensive,Car,Private,BMW,X3,2013,19800000.00,264419.03
Comprehensive,Car,Private,Land Rover,Discovery,2010,24750000.00,329797.56
Comprehensive,Car,Private,Peugeot,5008,2019,23750000.00,316590.09
Comprehensive,Car,Private,Toyota,Hilux,2015,21000000.00,280268.80
Comprehensive,Car,Private,Toyota,Aqua,2012,7180000.00,97738.57
Comprehensive,Car,Private,BMW,520d,2013,27000000.00,359514.62
Comprehensive,Car,Private,Toyota,Corolla,2009,7450000.00,101304.61
Comprehensive,Car,Private,Toyota,Axio,2018,15525000.00,207957.12
Comprehensive,Car,Private,Perodua,Viva Elite,2010,4285000.00,59502.78
Comprehensive,Car,Private,Toyota,Vitz,2008,5690000.00,78059.83
Comprehensive,Car,Private,BMW,520d,2015,34950000.00,464515.57
Comprehensive,Car,Private,Toyota,CHR,2018,15290000.00,204852.95
Comprehensive,Car,Private,Audi,A6,2014,17950000.00,239985.56
Comprehensive,Car,Private,Nissan,March,2007,4200000.00,58380.08
Comprehensive,Car,Private,Suzuki,Alto,2012,3100000.00,43851.97
Comprehensive,Car,Private,BMW,iX xDrive40,2023,77500000.00,1026501.41
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2013,38500000.00,511403.04
Comprehensive,Car,Private,BYD,Seal,2024,35500000.00,471779.63
Comprehensive,Car,Private,Porsche,Taycan,2023,125000000.00,1653864.78
Comprehensive,Car,Private,Mercedes Benz,E200,2010,15500000.00,207626.21
Comprehensive,Car,Private,Suzuki,Maruti,2005,1650000.00,24700.08
Comprehensive,Car,Private,Honda,Fit,2013,8290000.00,112399.65
Comprehensive,Car,Private,Suzuki,Alto,2015,3395000.00,47747.92
Comprehensive,Car,Private,Kia,Cerato,2009,5900000.00,80833.08
Comprehensive,Car,Private,BMW,316i,2014,17800000.00,238004.09
Comprehensive,Car,Private,Mercedes Benz,E200,2011,24000000.00,319891.21
Comprehensive,Car,Private,Suzuki,Maruti,2004,1585000.00,23842.31
Comprehensive,Car,Private,Toyota,Camry,2011,10800000.00,145550.79
Comprehensive,Car,Private,Toyota,Premio,2013,12590000.00,169192.48
Comprehensive,Car,Private,Hyundai,Grand i10,2024,9439999.00,127588.58
Comprehensive,Car,Private,Audi,A5,2019,33750000.00,448665.80
Comprehensive,Car,Private,Toyota,Sprinter,1996,2700000.00,2700000.00
Comprehensive,Car,Private,Toyota,Prius,2013,9950000.00,134323.79
Comprehensive,Car,Private,BMW,430i,2017,45000000.00,597252.10
Comprehensive,Car,Private,Nissan,March,1990,725000.00,12483.35
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,1998,18500000.00,247249.62
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,27450000.00,365458.03
Comprehensive,Car,Private,Peugeot,508,2018,17000000.00,227437.91
Comprehensive,Car,Private,Nissan,X-Trail,2016,12085000.00,162522.26
Comprehensive,Car,Private,Ssang Yong,Rexton,2009,7500000.00,101965.44
Comprehensive,Car,Private,Land Rover,Range Rover Sport,2017,52500000.00,696309.63
Comprehensive,Car,Private,Suzuki,Alto,2004,3325000.00,46823.17
Comprehensive,Car,Private,Land Rover,Freelander,2011,12300000.00,165362.50
Comprehensive,Car,Private,Jaguar,X-Type,2008,7300000.00,99324.14
Comprehensive,Car,Private,Honda,Fit,2015,9475000.00,128050.47
Comprehensive,Car,Private,Audi,Q2,2018,16975000.00,227108.00
Comprehensive,Car,Private,Nissan,Juke,2020,15500000.00,207626.21
Comprehensive,Car,Private,Toyota,Corolla,2008,6890000.00,93908.59
Comprehensive,Car,Private,Toyota,Starlet,1997,3190000.00,45040.65
Comprehensive,Car,Private,Honda,Fit,2015,8350000.00,113191.44
Comprehensive,Car,Private,Toyota,Belta,2010,6950000.00,94701.38
Comprehensive,Car,Private,Honda,Accord,2020,26990000.00,359382.66
Comprehensive,Car,Private,BMW,X1,2020,33900000.00,450647.27
Comprehensive,Car,Private,Peugeot,3008,2018,21250000.00,283570.91
Comprehensive,Car,Private,Porsche,718 Cayman,2018,68000000.00,901027.93
Comprehensive,Car,Private,Suzuki,Baleno,2016,8700000.00,117814.20
Comprehensive,Car,Private,Mitsubishi,Lancer,2004,5980000.00,81889.80
Comprehensive,Car,Private,Honda,Vezel,2019,18700000.00,249890.91
Comprehensive,Car,Private,Toyota,Voxy,2015,19500000.00,260457.09
Comprehensive,Car,Private,Suzuki,Suzuki,2003,4895000.00,67559.63
Comprehensive,Car,Private,Peugeot,3008,2018,21000000.00,280268.80
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2018,7275000.00,98993.23
Comprehensive,Car,Private,BMW,520d,2014,31500000.00,418948.74
Comprehensive,Car,Private,MG,ZS,2019,11000000.00,148192.09
Comprehensive,Car,Private,Suzuki,Swift,2003,4090000.00,56927.47
Comprehensive,Car,Private,Toyota,Premio,2003,8500000.00,115172.91
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2011,67500000.00,894424.70
Comprehensive,Car,Private,Audi,A8,2014,39800000.00,528572.45
Comprehensive,Car,Private,Toyota,Corolla,1987,1690000.00,25228.94
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2015,5775000.00,79182.53
Comprehensive,Car,Private,Mitsubishi,Montero,2007,20800000.00,277627.50
Comprehensive,Car,Private,Mitsubishi,Montero,2004,13500000.00,181211.26
Comprehensive,Car,Private,Suzuki,Wagon R,2016,5475000.00,75219.58
Comprehensive,Car,Private,Suzuki,Spacia,2014,6100000.00,83474.38
Comprehensive,Car,Private,Hyundai,Atos,2001,2095000.00,30577.51
Comprehensive,Car,Private,Toyota,CHR,2018,16700000.00,223475.97
Comprehensive,Car,Private,Toyota,Corsa,1996,3295000.00,46427.28
Comprehensive,Car,Private,Audi,A3,2017,13500000.00,181211.26
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2014,5825000.00,79842.35
Comprehensive,Car,Private,Toyota,Allion,2013,12975000.00,174277.12
Comprehensive,Car,Private,Hyundai,Tucson,2011,8650000.00,117154.38
Comprehensive,Car,Private,BMW,X1,2017,22500000.00,300080.50
Comprehensive,Car,Private,Toyota,Harrier,2017,36900000.00,490270.69
Comprehensive,Car,Private,Suzuki,Wagon R,2015,5375000.00,73898.94
Comprehensive,Car,Private,Daihatsu,Charade,1999,2795000.00,39823.04
Comprehensive,Car,Private,Audi,Q2,2018,17500000.00,234042.15
Comprehensive,Car,Private,Toyota,Hilux,1996,3250000.00,45832.44
Comprehensive,Car,Private,Toyota,Yaris,2007,6200000.00,84795.03
Comprehensive,Car,Private,Honda,Odyssey,2001,5950000.00,81493.91
Comprehensive,Car,Private,Mitsubishi,Montero,2012,16800000.00,224796.62
Comprehensive,Car,Private,Audi,A3,2017,14500000.00,194418.73
Comprehensive,Car,Private,Honda,Grace,2016,11200000.00,150833.38
Comprehensive,Car,Private,Toyota,Prius,2014,10590000.00,142776.53
Comprehensive,Car,Private,Mitsubishi,Montero,2018,16500000.00,220833.68
Comprehensive,Car,Private,Land Rover,Range Rover,2020,124500000.00,1647260.54
Comprehensive,Car,Private,Toyota,Corolla,2002,5300000.00,72908.20
Comprehensive,Car,Private,Toyota,Hilux,2018,20500000.00,273664.56
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2007,34000000.00,451967.92
Comprehensive,Car,Private,Suzuki,Swift,2002,3695000.00,51709.87
Comprehensive,Car,Private,Toyota,CE90,1991,1765000.00,26219.68
Comprehensive,Car,Private,Audi,Q2,2017,17650000.00,236022.62
Comprehensive,Car,Private,DFSK,Glory,2022,13400000.00,179890.62
Comprehensive,Car,Private,Kia,Sorento,2010,12950000.00,173947.20
Comprehensive,Car,Private,Toyota,Prius,2013,11000000.00,148192.09
Comprehensive,Car,Private,Honda,CRV,2018,22700000.00,302721.80
Comprehensive,Car,Private,Mercedes Benz,C180,2003,5800000.00,79512.44
Comprehensive,Car,Private,Nissan,Wingroad,2000,2650000.00,37908.55
Comprehensive,Car,Private,Suzuki,Alto,2015,5300000.00,72908.20
Comprehensive,Car,Private,Suzuki,Swift,2009,5590000.00,76738.18
Comprehensive,Car,Private,Nissan,Sunny,1980,550000.00,10171.96
Comprehensive,Car,Private,Suzuki,Swift,2002,3990000.00,55606.82
Comprehensive,Car,Private,Mercedes Benz,E200,2010,14000000.00,187815.50
Comprehensive,Car,Private,Ssang Yong,Kyron,2008,5525000.00,75880.41
Comprehensive,Car,Private,Mitsubishi,Montero,2008,9750000.00,131682.50
Comprehensive,Car,Private,Land Rover,Defender,2013,45000000.00,597252.10
Comprehensive,Car,Private,Toyota,Hilux,2015,21000000.00,280268.80
Comprehensive,Car,Private,Toyota,Corolla,2009,7450000.00,101304.61
Comprehensive,Car,Private,Toyota,Axio,2018,15525000.00,207957.12
Comprehensive,Car,Private,Suzuki,Alto,2015,3850000.00,53757.32
Comprehensive,Car,Private,Honda,CRV,2005,7200000.00,98002.50
Comprehensive,Car,Private,Honda,Civic,2018,14650000.00,196400.21
Comprehensive,Car,Private,BMW,740Le,2017,52500000.00,696309.63
Comprehensive,Car,Private,Peugeot,3008,2018,21450000.00,286212.21
Comprehensive,Car,Private,Mercedes Benz,E300,2015,22950000.00,306023.91
Comprehensive,Car,Private,Perodua,Axia,2019,7300000.00,99324.14
Comprehensive,Car,Private,Tata,Nano,2017,2300000.00,33285.79
Comprehensive,Car,Private,Toyota,Vitz,2016,7400000.00,100644.79
Comprehensive,Car,Private,Hyundai,Venue,2019,10500000.00,141587.85
Comprehensive,Car,Private,Toyota,Corolla,1986,750000.00,12813.26
Comprehensive,Car,Private,Toyota,Aqua,2012,6950000.00,94701.38
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2014,93500000.00,1237823.94
Comprehensive,Car,Private,Suzuki,Alto,2013,2985000.00,42332.37
Comprehensive,Car,Private,Suzuki,Swift,2017,9450000.00,127720.56
Comprehensive,Car,Private,Micro,Kyron,2009,5675000.00,77860.88
Comprehensive,Car,Private,Audi,A1,2018,9975000.00,134654.70
Comprehensive,Car,Private,Toyota,Prius,2012,9750000.00,131682.50
Comprehensive,Car,Private,Honda,CRV,2018,28500000.00,379326.33
Comprehensive,Car,Private,Honda,Civic,2018,15000000.00,201022.97
Comprehensive,Car,Private,Nissan,X-Trail,2010,8550000.00,115833.73
Comprehensive,Car,Private,Toyota,Corolla,2008,6795000.00,92653.93
Comprehensive,Car,Private,Suzuki,Alto,2016,2990000.00,42398.35
Comprehensive,Car,Private,Audi,Q3,2018,21875000.00,291825.71
Comprehensive,Car,Private,Mazda,Familia,2000,2850000.00,40549.85
Comprehensive,Car,Private,Toyota,Axio,2016,11650000.00,156776.79
Comprehensive,Car,Private,BMW,520d,2012,21800000.00,290834.97
Comprehensive,Car,Private,Toyota,CHR,2019,17650000.00,236022.62
Comprehensive,Car,Private,Land Rover,Defender,2014,46800000.00,621025.75
Comprehensive,Car,Private,Toyota,Allion,2010,10950000.00,147531.26
Comprehensive,Car,Private,Toyota,Vitz,2019,11250000.00,151494.20
Comprehensive,Car,Private,BMW,523i,2007,11275000.00,151824.12
Comprehensive,Car,Private,Mercedes Benz,C220,2013,15950000.00,213569.62
Comprehensive,Car,Private,BMW,X5,2016,31250000.00,415646.62
Comprehensive,Car,Private,Perodua,Axia,2016,5775000.00,79182.53
Comprehensive,Car,Private,Suzuki,Alto,2011,2785000.00,39691.08
Comprehensive,Car,Private,Toyota,Yaris,2008,6100000.00,83474.38
Comprehensive,Car,Private,Suzuki,Maruti,2007,1985000.00,29124.90
Comprehensive,Car,Private,Suzuki,Swift,2002,3700000.00,51775.85
Comprehensive,Car,Private,Nissan,Dayz,2016,5625000.00,77201.05
Comprehensive,Car,Private,Honda,Civic,2017,13700000.00,183852.56
Comprehensive,Car,Private,Honda,Civic,2011,8150000.00,110550.14
Comprehensive,Car,Private,Maruti,Suzuki,2011,2175000.00,31634.23
Comprehensive,Car,Private,Honda,Vezel,2016,13800000.00,185173.20
Comprehensive,Car,Private,Toyota,Corolla,1996,2790000.00,39757.06
Comprehensive,Car,Private,Mercedes Benz,E200,2013,23500000.00,313287.97
Comprehensive,Car,Private,Audi,Q2,2017,16290000.00,218060.42
Comprehensive,Car,Private,Honda,Vezel,2016,14200000.00,190456.79
Comprehensive,Car,Private,Toyota,Raize,2019,14250000.00,191116.62
Comprehensive,Car,Private,Mitsubishi,Outlander,2015,14800000.00,198380.68
Comprehensive,Car,Private,Toyota,Axio,2008,7325000.00,99654.06
Comprehensive,Car,Private,Toyota,Prius,2013,10700000.00,144230.14
Comprehensive,Car,Private,Suzuki,Hustler,2016,6375000.00,87106.41
Comprehensive,Car,Private,Toyota,CHR,2018,16500000.00,220833.68
Comprehensive,Car,Private,Toyota,Premio,2014,13750000.00,184513.38
Comprehensive,Car,Private,Renault,KWID,2016,3375000.00,47483.99
Comprehensive,Car,Private,Toyota,Allion,2010,10250000.00,138286.73
Comprehensive,Car,Private,MG,ZS,2019,10800000.00,145550.79
Comprehensive,Car,Private,Mercedes Benz,E300,2015,22200000.00,296117.56
Comprehensive,Car,Private,Nissan,Sunny,2004,4750000.00,65644.14
Comprehensive,Car,Private,Toyota,Prius,2013,10890000.00,146739.47
Comprehensive,Car,Private,Toyota,Fortuner,2013,19900000.00,265740.68
Comprehensive,Car,Private,Toyota,Vitz,2018,9300000.00,125739.09
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2008,20500000.00,273664.56
Comprehensive,Car,Private,Suzuki,Wagon R,2018,6890000.00,93908.59
Comprehensive,Car,Private,Suzuki,Alto,2015,3275000.00,46163.35
Comprehensive,Car,Private,Toyota,Premio,2014,14250000.00,191116.62
Comprehensive,Car,Private,Toyota,Hilux,2011,12650000.00,169984.26
Comprehensive,Car,Private,Toyota,Vitz,2018,9650000.00,130361.85
Comprehensive,Car,Private,Toyota,Allion,2013,12850000.00,172626.56
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000.00,105795.41
Comprehensive,Car,Private,Toyota,Passo,2011,5350000.00,73569.02
Comprehensive,Car,Private,Toyota,Premio,2015,14900000.00,199702.32
Comprehensive,Car,Private,Honda,Fit Shuttle,2016,12200000.00,164040.85
Comprehensive,Car,Private,Toyota,Corolla,1989,775000.00,13144.17
Comprehensive,Car,Private,Maruti Suzuki,Alto,2007,2418000.00,34843.97
Comprehensive,Car,Private,BMW,520d,2013,25100000.00,334420.33
Comprehensive,Car,Private,Proton,Wira,2000,2075000.00,30313.58
Comprehensive,Car,Private,Nissan,Sunny,2001,3875000.00,54087.23
Comprehensive,Car,Private,Toyota,Vitz,2007,5500000.00,75549.50
Comprehensive,Car,Private,Suzuki,Alto,2016,5250000.00,72248.38
Comprehensive,Car,Private,Toyota,Corolla,1996,2850000.00,40549.85
Comprehensive,Car,Private,Mitsubishi,eK Wagon,2018,6390000.00,87304.35
Comprehensive,Car,Private,Nissan,Sunny,2001,3890000.00,54285.18
Comprehensive,Car,Private,Toyota,Corolla,1995,2800000.00,39889.02
Comprehensive,Car,Private,Mercedes Benz,C180,2011,13500000.00,181211.26
Comprehensive,Car,Private,Land Rover,Range Rover Sport,2019,67500000.00,894424.70
Comprehensive,Car,Private,Mercedes Benz,E300,2016,25500000.00,339702.92
Comprehensive,Car,Private,BMW,530e,2018,38500000.00,511403.04
Comprehensive,Car,Private,Nissan,Sunny,2000,3575000.00,50125.29
Comprehensive,Car,Private,Honda,Civic,2011,7150000.00,97342.67
Comprehensive,Car,Private,Suzuki,Alto,2014,3250000.00,45832.44
Comprehensive,Car,Private,Mazda,Demio,1997,2575000.00,36917.82
Comprehensive,Car,Private,Suzuki,Alto,2015,3150000.00,44511.79
Comprehensive,Car,Private,Tata,Indica,2006,1775000.00,26351.64
Comprehensive,Car,Private,Toyota,Premio,2016,15750000.00,210928.32
Comprehensive,Car,Private,Land Rover,Discovery,2019,54500000.00,722724.57
Comprehensive,Car,Private,Toyota,Premio,2019,19675000.00,262768.47
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2011,69500000.00,920839.64
Comprehensive,Car,Private,Suzuki,Swift,2004,4295000.00,59634.75
Comprehensive,Car,Private,Toyota,Corsa,1999,2875000.00,40879.76
Comprehensive,Car,Private,Toyota,Axio,2015,11500000.00,154796.32
Comprehensive,Car,Private,Suzuki,Maruti,2011,1950000.00,28663.02
Comprehensive,Car,Private,Mercedes Benz,C200,2002,6000000.00,82153.73
Comprehensive,Car,Private,Audi,A6,2017,24200000.00,322533.50
Comprehensive,Car,Private,Toyota,Axio,2014,9850000.00,133003.14
Comprehensive,Car,Private,Audi,Q7,2017,44500000.00,590648.86
Comprehensive,Car,Private,Mini,Cooper,2019,16900000.00,226117.27
Comprehensive,Car,Private,Mitsubishi,Pajero,2001,3800000.00,53096.49
Comprehensive,Car,Private,Suzuki,Swift,2017,9250000.00,125078.26
Comprehensive,Car,Private,Honda,Civic,2018,14700000.00,197060.03
Comprehensive,Car,Private,Toyota,Aqua,2013,7390000.00,100512.83
Comprehensive,Car,Private,Toyota,CHR,2017,15475000.00,207296.29
Comprehensive,Car,Private,Toyota,Corolla,2008,6975000.00,95031.29
Comprehensive,Car,Private,Toyota,Vitz,2018,9395000.00,126993.75
Comprehensive,Car,Private,BMW,520d,2013,25500000.00,339702.92
Comprehensive,Car,Private,Mercedes Benz,E200,2016,42500000.00,564232.92
Comprehensive,Car,Private,Nissan,Sunny,2005,4200000.00,58380.08
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000.00,105795.41
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6925000.00,94370.47
Comprehensive,Car,Private,Datsun,Redi Go,2016,2650000.00,37908.55
Comprehensive,Car,Private,Toyota,Corolla,1997,3675000.00,51445.94
Comprehensive,Car,Private,Hyundai,Venue,2019,10900000.00,146871.44
Comprehensive,Car,Private,Kia,Sportage,2011,10725000.00,144560.06
Comprehensive,Car,Private,Honda,Grace,2015,11375000.00,153144.76
Comprehensive,Car,Private,Honda,Fit,2014,8500000.00,115172.91
Comprehensive,Car,Private,Jaguar,XF,2014,18500000.00,247249.62
Comprehensive,Car,Private,Nissan,X-Trail,2016,13500000.00,181211.26
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14000000.00,187815.50
Comprehensive,Car,Private,Toyota,Corona,1991,1875000.00,27672.29
Comprehensive,Car,Private,Honda,Vezel,2014,10850000.00,146210.62
Comprehensive,Car,Private,Toyota,Passo,2020,8100000.00,109890.32
Comprehensive,Car,Private,Nissan,Wingroad,2005,4275000.00,59370.82
Comprehensive,Car,Private,Nissan,March,1987,895000.00,14728.75
Comprehensive,Car,Private,Toyota,Carina,1986,1075000.00,17106.11
Comprehensive,Car,Private,Toyota,Prius,2015,11690000.00,157305.65
Comprehensive,Car,Private,Toyota,Rush,2018,17375000.00,232390.59
